job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105276,gw2965,nodes,COMPLETED,2026-08-05T14:21:10Z,2026-08-05T14:21:12Z,2026-08-05T14:21:12Z,0s,2.0s,1,0.7402s,0.0%,0.0MB,0.0MB,0.0%,0
105277,gw2965,nodes,COMPLETED,2026-08-05T14:21:11Z,2026-08-05T14:21:12Z,2026-08-05T14:21:12Z,0s,1.0s,1,0.7675s,0.0%,0.0MB,0.0MB,0.0%,0
105278,gw2965,nodes,COMPLETED,2026-08-05T14:21:12Z,2026-08-05T14:21:15Z,2026-08-05T14:21:15Z,0s,3.0s,1,0.7613s,0.0%,0.0MB,0.0MB,0.0%,0
105279,gw2965,nodes,COMPLETED,2026-08-05T14:21:13Z,2026-08-05T14:21:15Z,2026-08-05T14:21:16Z,1s,2.0s,6,2.705s,45.0834%,0.0MB,0.0MB,0.0%,0
105280,gw2965,nodes,COMPLETED,2026-08-05T14:21:14Z,2026-08-05T14:21:15Z,2026-08-05T14:21:16Z,1s,1.0s,6,2.7174s,45.2903%,0.0MB,0.0MB,0.0%,0
105281,gw2965,nodes,COMPLETED,2026-08-05T14:21:15Z,2026-08-05T14:21:18Z,2026-08-05T14:21:22Z,4s,3.0s,6,8.8592s,36.9132%,0.0MB,0.0MB,0.0%,0
105282,gw2965,nodes,COMPLETED,2026-08-05T14:21:16Z,2026-08-05T14:21:18Z,2026-08-05T14:21:22Z,4s,2.0s,6,9.2776s,38.6565%,0.0MB,0.0MB,0.0%,0
105283,gw2965,nodes,COMPLETED,2026-08-05T14:21:17Z,2026-08-05T14:21:18Z,2026-08-05T14:21:19Z,1s,1.0s,1,0.7524s,75.2407%,0.0MB,0.0MB,0.0%,0
105284,gw2965,nodes,COMPLETED,2026-08-05T14:21:18Z,2026-08-05T14:21:19Z,2026-08-05T14:21:19Z,0s,1.0s,1,0.7563s,0.0%,0.0MB,0.0MB,0.0%,0
105285,gw2965,nodes,COMPLETED,2026-08-05T14:21:19Z,2026-08-05T14:21:21Z,2026-08-05T14:21:21Z,0s,2.0s,1,0.7599s,0.0%,0.0MB,0.0MB,0.0%,0
105286,gw2965,nodes,COMPLETED,2026-08-05T14:21:20Z,2026-08-05T14:21:21Z,2026-08-05T14:21:21Z,0s,1.0s,1,0.753s,0.0%,0.0MB,0.0MB,0.0%,0
105287,gw2965,nodes,COMPLETED,2026-08-05T14:21:21Z,2026-08-05T14:21:24Z,2026-08-05T14:21:24Z,0s,3.0s,1,0.7607s,0.0%,0.0MB,0.0MB,0.0%,0
105288,gw2965,nodes,COMPLETED,2026-08-05T14:21:22Z,2026-08-05T14:21:24Z,2026-08-05T14:21:24Z,0s,2.0s,1,0.7513s,0.0%,0.0MB,0.0MB,0.0%,0
105289,gw2965,nodes,COMPLETED,2026-08-05T14:21:23Z,2026-08-05T14:21:24Z,2026-08-05T14:21:24Z,0s,1.0s,1,0.7726s,0.0%,0.0MB,0.0MB,0.0%,0
105290,gw2965,nodes,COMPLETED,2026-08-05T14:21:24Z,2026-08-05T14:21:27Z,2026-08-05T14:21:27Z,0s,3.0s,1,0.7955s,0.0%,0.0MB,0.0MB,0.0%,0
105291,gw2965,nodes,COMPLETED,2026-08-05T14:21:25Z,2026-08-05T14:21:27Z,2026-08-05T14:21:27Z,0s,2.0s,1,0.7945s,0.0%,0.0MB,0.0MB,0.0%,0
105292,gw2965,nodes,COMPLETED,2026-08-05T14:21:26Z,2026-08-05T14:21:27Z,2026-08-05T14:21:27Z,0s,1.0s,1,0.7667s,0.0%,0.0MB,0.0MB,0.0%,0
105293,gw2965,nodes,COMPLETED,2026-08-05T14:21:27Z,2026-08-05T14:21:30Z,2026-08-05T14:21:31Z,1s,3.0s,1,0.8379s,83.794%,0.0MB,0.0MB,0.0%,0
105294,gw2965,nodes,COMPLETED,2026-08-05T14:21:28Z,2026-08-05T14:21:30Z,2026-08-05T14:21:31Z,1s,2.0s,1,0.8399s,83.9942%,0.0MB,0.0MB,0.0%,0
105295,gw2965,nodes,COMPLETED,2026-08-05T14:21:29Z,2026-08-05T14:21:30Z,2026-08-05T14:21:33Z,3s,1.0s,6,8.5261s,47.3674%,0.0MB,0.0MB,0.0%,0
105296,gw2965,nodes,COMPLETED,2026-08-05T14:21:30Z,2026-08-05T14:21:33Z,2026-08-05T14:21:37Z,4s,3.0s,6,8.7871s,36.6128%,0.0MB,0.0MB,0.0%,0
105297,gw2965,nodes,COMPLETED,2026-08-05T14:21:31Z,2026-08-05T14:21:33Z,2026-08-05T14:21:35Z,2s,2.0s,6,2.7519s,22.9328%,0.0MB,0.0MB,0.0%,0
105298,gw2965,nodes,COMPLETED,2026-08-05T14:21:32Z,2026-08-05T14:21:33Z,2026-08-05T14:21:34Z,1s,1.0s,6,2.6748s,44.5796%,0.0MB,0.0MB,0.0%,0
105299,gw2965,nodes,COMPLETED,2026-08-05T14:21:33Z,2026-08-05T14:21:36Z,2026-08-05T14:21:38Z,2s,3.0s,6,2.6597s,22.1644%,0.0MB,0.0MB,0.0%,0
105300,gw2965,nodes,COMPLETED,2026-08-05T14:21:34Z,2026-08-05T14:21:36Z,2026-08-05T14:21:40Z,4s,2.0s,6,9.7173s,40.4889%,0.0MB,0.0MB,0.0%,0
105301,gw2965,nodes,COMPLETED,2026-08-05T14:21:35Z,2026-08-05T14:21:36Z,2026-08-05T14:21:40Z,4s,1.0s,6,9.242s,38.5082%,0.0MB,0.0MB,0.0%,0
105302,gw2965,nodes,COMPLETED,2026-08-05T14:21:36Z,2026-08-05T14:21:39Z,2026-08-05T14:21:43Z,4s,3.0s,6,9.4973s,39.5721%,0.0MB,0.0MB,0.0%,0
